Round,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
7,Lewis,Hamilton,Mercedes,4,1:11.835,1:11.740,1:10.996
7,Kimi,Räikkönen,Ferrari,5,1:11.725,1:11.620,1:11.095
7,Daniel,Ricciardo,Red Bull,6,1:12.459,1:11.434,1:11.116
7,Nico,Hülkenberg,Renault,7,1:12.795,1:11.916,1:11.973
7,Esteban,Ocon,Force India,8,1:12.577,1:12.141,1:12.084
7,Carlos,Sainz,Renault,9,1:12.689,1:12.097,1:12.168
7,Sergio,Pérez,Force India,10,1:12.702,1:12.395,1:12.671
7,Kevin,Magnussen,Haas F1 Team,11,1:12.680,1:12.606,
7,Brendon,Hartley,Toro Rosso,12,1:12.587,1:12.635,
7,Charles,Leclerc,Sauber,13,1:12.945,1:12.661,
7,Fernando,Alonso,McLaren,14,1:12.979,1:12.856,
7,Stoffel,Vandoorne,McLaren,15,1:12.998,1:12.865,
7,Pierre,Gasly,Toro Rosso,16,1:13.047,,
7,Lance,Stroll,Williams,17,1:13.590,,
7,Sergey,Sirotkin,Williams,18,1:13.643,,
7,Marcus,Ericsson,Sauber,19,1:14.593,,
7,Romain,Grosjean,Haas F1 Team,20,,,
8,Lewis,Hamilton,Mercedes,1,1:31.271,1:30.645,1:30.029
8,Valtteri,Bottas,Mercedes,2,1:31.776,1:31.227,1:30.147
8,Sebastian,Vettel,Ferrari,3,1:31.820,1:30.751,1:30.400
8,Max,Verstappen,Red Bull,4,1:31.531,1:30.818,1:30.705
8,Daniel,Ricciardo,Red Bull,5,1:31.910,1:31.538,1:30.895
8,Kimi,Räikkönen,Ferrari,6,1:31.567,1:30.772,1:31.057
8,Carlos,Sainz,Renault,7,1:32.394,1:32.016,1:32.126
8,Charles,Leclerc,Sauber,8,1:32.538,1:32.055,1:32.635
8,Kevin,Magnussen,Haas F1 Team,9,1:32.169,1:31.510,1:32.930
8,Romain,Grosjean,Haas F1 Team,10,1:32.083,1:31.472,
8,Esteban,Ocon,Force India,11,1:32.786,1:32.075,
8,Nico,Hülkenberg,Renault,12,1:32.949,1:32.115,
8,Sergio,Pérez,Force India,13,1:32.692,1:32.454,
8,Pierre,Gasly,Toro Rosso,14,1:32.447,1:32.460,
8,Marcus,Ericsson,Sauber,15,1:32.804,1:32.820,
8,Fernando,Alonso,McLaren,16,1:32.976,,
8,Brendon,Hartley,Toro Rosso,17,1:33.025,,
8,Stoffel,Vandoorne,McLaren,18,1:33.162,,
8,Sergey,Sirotkin,Williams,19,1:33.636,,
8,Lance,Stroll,Williams,20,1:33.729,,
9,Valtteri,Bottas,Mercedes,1,1:04.175,1:03.756,1:03.130
9,Lewis,Hamilton,Mercedes,2,1:04.080,1:03.577,1:03.149
9,Sebastian,Vettel,Ferrari,3,1:04.347,1:03.544,1:03.464
9,Kimi,Räikkönen,Ferrari,4,1:04.234,1:03.975,1:03.660
9,Max,Verstappen,Red Bull,5,1:04.273,1:04.001,1:03.840
9,Romain,Grosjean,Haas F1 Team,6,1:04.242,1:04.059,1:03.892
9,Daniel,Ricciardo,Red Bull,7,1:04.723,1:04.403,1:03.996
9,Kevin,Magnussen,Haas F1 Team,8,1:04.460,1:04.291,1:04.051
9,Carlos,Sainz,Renault,9,1:04.948,1:04.561,1:04.725
9,Nico,Hülkenberg,Renault,10,1:04.864,1:04.676,1:05.019
9,Esteban,Ocon,Force India,11,1:05.148,1:04.845,
9,Pierre,Gasly,Toro Rosso,12,1:05.011,1:04.874,
9,Charles,Leclerc,Sauber,13,1:04.967,1:04.979,
9,Fernando,Alonso,McLaren,14,1:04.965,1:05.058,
9,Lance,Stroll,Williams,15,1:05.264,1:05.286,
9,Stoffel,Vandoorne,McLaren,16,1:05.271,,
9,Sergio,Pérez,Force India,17,1:05.279,,
9,Sergey,Sirotkin,Williams,18,1:05.322,,
9,Brendon,Hartley,Toro Rosso,19,1:05.366,,
9,Marcus,Ericsson,Sauber,20,1:05.479,,
10,Lewis,Hamilton,Mercedes,1,1:26.818,1:26.256,1:25.892
10,Sebastian,Vettel,Ferrari,2,1:26.585,1:26.372,1:25.936
10,Kimi,Räikkönen,Ferrari,3,1:27.549,1:26.483,1:25.990
10,Valtteri,Bottas,Mercedes,4,1:27.025,1:26.413,1:26.217
10,Max,Verstappen,Red Bull,5,1:27.309,1:27.013,1:26.602
10,Daniel,Ricciardo,Red Bull,6,1:27.979,1:27.369,1:27.099
10,Kevin,Magnussen,Haas F1 Team,7,1:28.143,1:27.730,1:27.244
10,Romain,Grosjean,Haas F1 Team,8,1:28.086,1:27.522,1:27.455
10,Charles,Leclerc,Sauber,9,1:27.962,1:27.790,1:27.879
10,Esteban,Ocon,Force India,10,1:28.279,1:27.843,1:28.194
10,Nico,Hülkenberg,Renault,11,1:28.017,1:27.901,
10,Sergio,Pérez,Force India,12,1:28.210,1:27.928,
10,Fernando,Alonso,McLaren,13,1:28.187,1:28.139,
10,Pierre,Gasly,Toro Rosso,14,1:28.399,1:28.343,
10,Marcus,Ericsson,Sauber,15,1:28.249,1:28.391,
10,Carlos,Sainz,Renault,16,1:28.456,,
10,Stoffel,Vandoorne,McLaren,17,1:29.096,,
10,Sergey,Sirotkin,Williams,18,1:29.252,,
10,Lance,Stroll,Williams,19,,,
10,Brendon,Hartley,Toro Rosso,20,,,
11,Sebastian,Vettel,Ferrari,1,1:12.538,1:12.505,1:11.212
11,Valtteri,Bottas,Mercedes,2,1:12.962,1:12.152,1:11.416
11,Kimi,Räikkönen,Ferrari,3,1:12.505,1:12.336,1:11.547
11,Max,Verstappen,Red Bull,4,1:13.127,1:12.188,1:11.822
11,Kevin,Magnussen,Haas F1 Team,5,1:13.105,1:12.523,1:12.200
11,Romain,Grosjean,Haas F1 Team,6,1:12.986,1:12.722,1:12.544
11,Nico,Hülkenberg,Renault,7,1:13.479,1:12.946,1:12.560
11,Carlos,Sainz,Renault,8,1:13.324,1:13.032,1:12.692
11,Charles,Leclerc,Sauber,9,1:13.077,1:12.995,1:12.717
11,Sergio,Pérez,Force India,10,1:13.427,1:13.072,1:12.774
11,Fernando,Alonso,McLaren,11,1:13.614,1:13.657,
11,Sergey,Sirotkin,Williams,12,1:13.708,1:13.702,
11,Marcus,Ericsson,Sauber,13,1:13.562,1:13.736,
11,Lewis,Hamilton,Mercedes,14,1:13.012,,
11,Daniel,Ricciardo,Red Bull,15,1:13.318,,
11,Esteban,Ocon,Force India,16,1:13.720,,
11,Pierre,Gasly,Toro Rosso,17,1:13.749,,
11,Brendon,Hartley,Toro Rosso,18,1:14.045,,
11,Lance,Stroll,Williams,19,1:14.206,,
11,Stoffel,Vandoorne,McLaren,20,1:14.401,,
12,Lewis,Hamilton,Mercedes,1,1:17.419,1:31.242,1:35.658
12,Valtteri,Bottas,Mercedes,2,1:17.123,1:32.081,1:35.918
12,Kimi,Räikkönen,Ferrari,3,1:17.526,1:32.762,1:36.186
12,Sebastian,Vettel,Ferrari,4,1:16.666,1:28.636,1:36.210
12,Carlos,Sainz,Renault,5,1:17.829,1:30.771,1:36.743
12,Pierre,Gasly,Toro Rosso,6,1:18.577,1:31.286,1:37.591
12,Max,Verstappen,Red Bull,7,1:16.940,1:31.178,1:38.032
12,Brendon,Hartley,Toro Rosso,8,1:18.429,1:32.590,1:38.128
12,Kevin,Magnussen,Haas F1 Team,9,1:18.314,1:32.968,1:39.858
12,Romain,Grosjean,Haas F1 Team,10,1:17.901,1:33.650,1:40.593
12,Fernando,Alonso,McLaren,11,1:18.208,1:35.214,
12,Daniel,Ricciardo,Red Bull,12,1:18.540,1:36.442,
12,Nico,Hülkenberg,Renault,13,1:17.905,1:36.506,
12,Marcus,Ericsson,Sauber,14,1:18.641,1:37.075,
12,Lance,Stroll,Williams,15,1:18.560,,
12,Stoffel,Vandoorne,McLaren,16,1:18.782,,
12,Charles,Leclerc,Sauber,17,1:18.817,,
12,Esteban,Ocon,Force India,18,1:19.142,,
12,Sergio,Pérez,Force India,19,1:19.200,,
12,Sergey,Sirotkin,Williams,20,1:19.301,,
13,Lewis,Hamilton,Mercedes,1,1:42.977,1:41.553,1:58.179
13,Sebastian,Vettel,Ferrari,2,1:43.035,1:41.501,1:58.905
13,Esteban,Ocon,Force India,3,1:44.003,1:43.302,2:01.851
13,Sergio,Pérez,Force India,4,1:44.004,1:43.014,2:01.894
13,Romain,Grosjean,Haas F1 Team,5,1:43.597,1:43.042,2:02.122
13,Kimi,Räikkönen,Ferrari,6,1:42.585,1:41.533,2:02.671
13,Max,Verstappen,Red Bull,7,1:43.199,1:42.554,2:02.769
13,Daniel,Ricciardo,Red Bull,8,1:43.604,1:43.126,2:02.939
13,Kevin,Magnussen,Haas F1 Team,9,1:43.834,1:43.320,2:04.933
13,Valtteri,Bottas,Mercedes,10,1:42.805,1:42.191,
13,Pierre,Gasly,Toro Rosso,11,1:44.221,1:43.844,
13,Brendon,Hartley,Toro Rosso,12,1:44.153,1:43.865,
13,Charles,Leclerc,Sauber,13,1:43.654,1:44.062,
13,Marcus,Ericsson,Sauber,14,1:43.846,1:44.301,
13,Nico,Hülkenberg,Renault,15,1:44.145,,
13,Carlos,Sainz,Renault,16,1:44.489,,
13,Fernando,Alonso,McLaren,17,1:44.917,,
13,Sergey,Sirotkin,Williams,18,1:44.998,,
13,Lance,Stroll,Williams,19,1:45.134,,
13,Stoffel,Vandoorne,McLaren,20,1:45.307,,
14,Kimi,Räikkönen,Ferrari,1,1:20.722,1:19.846,1:19.119
14,Sebastian,Vettel,Ferrari,2,1:20.542,1:19.629,1:19.280
14,Lewis,Hamilton,Mercedes,3,1:20.810,1:19.798,1:19.294
14,Valtteri,Bottas,Mercedes,4,1:21.381,1:20.427,1:19.656
14,Max,Verstappen,Red Bull,5,1:21.381,1:20.333,1:20.615
14,Romain,Grosjean,Haas F1 Team,6,1:21.887,1:21.239,1:20.936
14,Carlos,Sainz,Renault,7,1:21.732,1:21.552,1:21.041
14,Esteban,Ocon,Force India,8,1:21.570,1:21.315,1:21.099
14,Pierre,Gasly,Toro Rosso,9,1:21.834,1:21.667,1:21.350
14,Lance,Stroll,Williams,10,1:21.838,1:21.494,1:21.627
14,Kevin,Magnussen,Haas F1 Team,11,1:21.783,1:21.669,
14,Sergey,Sirotkin,Williams,12,1:21.813,1:21.732,
14,Fernando,Alonso,McLaren,13,1:21.850,1:22.568,
14,Nico,Hülkenberg,Renault,14,1:21.801,,
14,Daniel,Ricciardo,Red Bull,15,1:21.280,,
14,Sergio,Pérez,Force India,16,1:21.888,,
14,Charles,Leclerc,Sauber,17,1:21.889,,
14,Brendon,Hartley,Toro Rosso,18,1:21.934,,
14,Marcus,Ericsson,Sauber,19,1:22.048,,
14,Stoffel,Vandoorne,McLaren,20,1:22.085,,
15,Lewis,Hamilton,Mercedes,1,1:39.403,1:37.344,1:36.015
15,Max,Verstappen,Red Bull,2,1:38.751,1:37.214,1:36.334
15,Sebastian,Vettel,Ferrari,3,1:38.218,1:37.876,1:36.628
15,Valtteri,Bottas,Mercedes,4,1:39.291,1:37.254,1:36.702
15,Kimi,Räikkönen,Ferrari,5,1:38.534,1:37.194,1:36.794
15,Daniel,Ricciardo,Red Bull,6,1:38.153,1:37.406,1:36.996
15,Sergio,Pérez,Force India,7,1:38.814,1:38.342,1:37.985
15,Romain,Grosjean,Haas F1 Team,8,1:38.685,1:38.367,1:38.320
15,Esteban,Ocon,Force India,9,1:38.912,1:38.534,1:38.365
15,Nico,Hülkenberg,Renault,10,1:38.932,1:38.450,1:38.588
15,Fernando,Alonso,McLaren,11,1:39.022,1:38.641,
15,Carlos,Sainz,Renault,12,1:39.103,1:38.716,
15,Charles,Leclerc,Sauber,13,1:39.206,1:38.747,
15,Marcus,Ericsson,Sauber,14,1:39.366,1:39.453,
15,Pierre,Gasly,Toro Rosso,15,1:39.614,1:39.691,
15,Kevin,Magnussen,Haas F1 Team,16,1:39.644,,
15,Brendon,Hartley,Toro Rosso,17,1:39.809,,
15,Stoffel,Vandoorne,McLaren,18,1:39.864,,
15,Sergey,Sirotkin,Williams,19,1:41.263,,
15,Lance,Stroll,Williams,20,1:41.334,,
16,Valtteri,Bottas,Mercedes,1,1:32.964,1:32.744,1:31.387
16,Lewis,Hamilton,Mercedes,2,1:32.410,1:32.595,1:31.532
16,Sebastian,Vettel,Ferrari,3,1:33.476,1:33.045,1:31.943
16,Kimi,Räikkönen,Ferrari,4,1:33.341,1:33.065,1:32.237
16,Kevin,Magnussen,Haas F1 Team,5,1:34.078,1:33.747,1:33.181
16,Esteban,Ocon,Force India,6,1:34.290,1:33.596,1:33.413
16,Charles,Leclerc,Sauber,7,1:33.924,1:33.488,1:33.419
16,Sergio,Pérez,Force India,8,1:34.084,1:33.923,1:33.563
16,Romain,Grosjean,Haas F1 Team,9,1:34.022,1:33.517,1:33.704
16,Marcus,Ericsson,Sauber,10,1:34.170,1:33.995,1:35.196
16,Max,Verstappen,Red Bull,11,1:33.048,,
16,Daniel,Ricciardo,Red Bull,12,1:33.247,,
16,Pierre,Gasly,Toro Rosso,13,1:34.383,,
16,Carlos,Sainz,Renault,14,1:34.626,,
16,Nico,Hülkenberg,Renault,15,1:34.655,,
16,Brendon,Hartley,Toro Rosso,16,1:35.037,,
16,Fernando,Alonso,McLaren,17,1:35.504,,
16,Sergey,Sirotkin,Williams,18,1:35.612,,
16,Stoffel,Vandoorne,McLaren,19,1:35.977,,
16,Lance,Stroll,Williams,20,1:36.437,,
17,Lewis,Hamilton,Mercedes,1,1:28.702,1:28.017,1:27.760
17,Valtteri,Bottas,Mercedes,2,1:29.297,1:27.987,1:28.059
17,Max,Verstappen,Red Bull,3,1:29.480,1:28.849,1:29.057
17,Kimi,Räikkönen,Ferrari,4,1:29.631,1:28.595,1:29.521
17,Romain,Grosjean,Haas F1 Team,5,1:29.724,1:29.678,1:29.761
17,Brendon,Hartley,Toro Rosso,6,1:30.248,1:29.848,1:30.023
17,Pierre,Gasly,Toro Rosso,7,1:30.137,1:29.810,1:30.093
17,Esteban,Ocon,Force India,8,1:29.899,1:29.538,1:30.126
17,Sebastian,Vettel,Ferrari,9,1:29.049,1:28.279,1:32.192
17,Sergio,Pérez,Force India,10,1:30.247,1:29.567,1:37.229
17,Charles,Leclerc,Sauber,11,1:29.706,1:29.864,
17,Kevin,Magnussen,Haas F1 Team,12,1:30.219,1:30.226,
17,Carlos,Sainz,Renault,13,1:30.236,1:30.490,
17,Lance,Stroll,Williams,14,1:30.317,1:30.714,
17,Daniel,Ricciardo,Red Bull,15,1:29.806,,
17,Nico,Hülkenberg,Renault,16,1:30.361,,
17,Sergey,Sirotkin,Williams,17,1:30.372,,
17,Fernando,Alonso,McLaren,18,1:30.573,,
17,Stoffel,Vandoorne,McLaren,19,1:31.041,,
17,Marcus,Ericsson,Sauber,20,1:31.213,,
18,Lewis,Hamilton,Mercedes,1,1:34.130,1:33.480,1:32.237
18,Sebastian,Vettel,Ferrari,2,1:34.569,1:33.079,1:32.298
18,Kimi,Räikkönen,Ferrari,3,1:34.703,1:32.884,1:32.307
18,Valtteri,Bottas,Mercedes,4,1:34.518,1:33.702,1:32.616
18,Daniel,Ricciardo,Red Bull,5,1:34.755,1:34.185,1:33.494
18,Esteban,Ocon,Force India,6,1:34.876,1:34.522,1:34.145
18,Nico,Hülkenberg,Renault,7,1:34.932,1:34.564,1:34.215
18,Romain,Grosjean,Haas F1 Team,8,1:34.892,1:34.419,1:34.250
18,Charles,Leclerc,Sauber,9,1:35.069,1:34.255,1:34.420
18,Sergio,Pérez,Force India,10,1:35.193,1:34.525,1:34.594
18,Carlos,Sainz,Renault,11,1:34.891,1:34.566,
18,Kevin,Magnussen,Haas F1 Team,12,1:34.972,1:34.732,
18,Pierre,Gasly,Toro Rosso,13,1:34.850,,
18,Brendon,Hartley,Toro Rosso,14,1:35.206,,
18,Max,Verstappen,Red Bull,15,1:34.766,,
18,Fernando,Alonso,McLaren,16,1:35.294,,
18,Sergey,Sirotkin,Williams,17,1:35.362,,
18,Lance,Stroll,Williams,18,1:35.480,,
18,Marcus,Ericsson,Sauber,19,1:35.536,,
18,Stoffel,Vandoorne,McLaren,20,1:35.735,,
19,Daniel,Ricciardo,Red Bull,1,1:15.866,1:15.845,1:14.759
19,Max,Verstappen,Red Bull,2,1:15.756,1:15.640,1:14.785
19,Lewis,Hamilton,Mercedes,3,1:15.673,1:15.644,1:14.894
19,Sebastian,Vettel,Ferrari,4,1:16.089,1:15.715,1:14.970
19,Valtteri,Bottas,Mercedes,5,1:15.580,1:15.923,1:15.160
19,Kimi,Räikkönen,Ferrari,6,1:16.446,1:15.996,1:15.330
19,Nico,Hülkenberg,Renault,7,1:16.498,1:16.126,1:15.827
19,Carlos,Sainz,Renault,8,1:16.813,1:16.188,1:16.084
19,Charles,Leclerc,Sauber,9,1:16.862,1:16.320,1:16.189
19,Marcus,Ericsson,Sauber,10,1:16.701,1:16.633,1:16.513
19,Esteban,Ocon,Force India,11,1:16.252,1:16.844,
19,Fernando,Alonso,McLaren,12,1:16.857,1:16.871,
19,Sergio,Pérez,Force India,13,1:16.242,1:17.167,
19,Brendon,Hartley,Toro Rosso,14,1:16.682,1:17.184,
19,Pierre,Gasly,Toro Rosso,15,1:16.828,,
19,Romain,Grosjean,Haas F1 Team,16,1:16.911,,
19,Stoffel,Vandoorne,McLaren,17,1:16.966,,
19,Kevin,Magnussen,Haas F1 Team,18,1:17.599,,
19,Lance,Stroll,Williams,19,1:17.689,,
19,Sergey,Sirotkin,Williams,20,1:17.886,,
20,Lewis,Hamilton,Mercedes,1,1:08.464,1:07.795,1:07.281
20,Sebastian,Vettel,Ferrari,2,1:08.452,1:07.776,1:07.374
20,Valtteri,Bottas,Mercedes,3,1:08.492,1:07.727,1:07.441
20,Kimi,Räikkönen,Ferrari,4,1:08.452,1:08.028,1:07.456
